complexity_cost,compute_disabled_counterparts_credits,consider_repetition_cost,creativity_gain,crossover_probability,crossover_type,default_credit,keep_parents,last_n_steps_repetition_halving_cost,learning_rate_credits,learning_rate_weights,multiplier_last_n_step_negative_repetition,mutation_probability,mutation_type,noise_probability,noise_type,nr_interactions,nr_rules,nr_steps,num_generations,parent_selection_type,patient_models_file,patient_name,patient_type,personalize,population_diversity_importance,preferences_details_file,rate_parents_mating,reassess_weights,sampling_trials,therapeutic_actions_details_file,therapies_activities_diversity_importance_ratio,trial,universes_granularity,update_arules,variables_details_file,Average 14 Rep,Stdev 14 Rep,Sum 14 Rep
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0.2, 'gaussian', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0.5, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 0, 10, False, 'simulation/data/variables_simple.csv',1.453,1.19484221216778,5812
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0.2, 'gaussian', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0.5, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 1, 10, False, 'simulation/data/variables_simple.csv',1.26425,1.0799136497297912,5057
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0.2, 'gaussian', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0.5, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, 10, False, 'simulation/data/variables_simple.csv',1.59225,1.123301112278988,6369
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0.2, 'gaussian', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0.5, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 11, 10, False, 'simulation/data/variables_simple.csv',1.27925,1.1410937565512793,5117
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0.2, 'gaussian', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0.5, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 12, 10, False, 'simulation/data/variables_simple.csv',1.02275,1.123631645388572,4091
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0.2, 'gaussian', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0.5, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 13, 10, False, 'simulation/data/variables_simple.csv',1.212,1.0946942901546644,4848
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0.2, 'gaussian', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0.5, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 14, 10, False, 'simulation/data/variables_simple.csv',1.22425,1.0928222648837533,4897
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0.2, 'gaussian', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0.5, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 15, 10, False, 'simulation/data/variables_simple.csv',1.24625,1.2175719928979445,4985
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0.2, 'gaussian', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0.5, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 16, 10, False, 'simulation/data/variables_simple.csv',1.60925,1.2253325252556395,6437
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0.2, 'gaussian', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0.5, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 17, 10, False, 'simulation/data/variables_simple.csv',1.2975,1.1757292778670216,5190
