complexity_cost,compute_disabled_counterparts_credits,consider_repetition_cost,creativity_gain,crossover_probability,crossover_type,default_credit,keep_parents,last_n_steps_repetition_halving_cost,learning_rate_credits,learning_rate_weights,multiplier_last_n_step_negative_repetition,mutation_probability,mutation_type,noise_probability,noise_type,nr_interactions,nr_rules,nr_steps,num_generations,parent_selection_type,patient_models_file,patient_name,patient_type,personalize,population_diversity_importance,preferences_details_file,rate_parents_mating,reassess_weights,sampling_trials,therapeutic_actions_details_file,therapies_activities_diversity_importance_ratio,trial,universes_granularity,update_arules,variables_details_file,Exp Time,Overall Avg Actual Happiness,Overall Avg Measured Happiness,MSE,Equal to Last Interaction
0,False,True,0,1,uniform,1,1,1,0,0.01,7,0.25,random,0,none,4000,20,1,50,sss,none,Anahita,random,True,0,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,21,10,False,simulation/data/variables_simple.csv,7465.946675539017,4.587782068986192,4.587782068986192,8.816369930524312,19
0,False,True,0,1,uniform,1,1,1,0,0.01,7,0.25,random,0,none,4000,20,1,50,sss,none,Anahita,random,True,0,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,22,10,False,simulation/data/variables_simple.csv,7218.159631490707,4.227308608619907,4.227308608619907,8.106383272101507,31
0,False,True,0,1,uniform,1,1,1,0,0.01,7,0.25,random,0,none,4000,20,1,50,sss,none,Anahita,random,True,0,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,50,10,False,simulation/data/variables_simple.csv,7247.814401626587,4.511538876950477,4.511538876950477,8.835420328861913,48
0,False,True,0,1,uniform,1,1,1,0,0.01,7,0.25,random,0,none,4000,20,1,50,sss,none,Anahita,random,True,0,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,52,10,False,simulation/data/variables_simple.csv,7196.789435625076,4.528409595982057,4.528409595982057,7.882613157751919,57
0,False,True,0,1,uniform,1,1,1,0,0.01,7,0.25,random,0,none,4000,20,1,50,sss,none,Anahita,random,True,0,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,53,10,False,simulation/data/variables_simple.csv,7293.594391822815,4.483978798097565,4.483978798097565,8.387864565214135,25
0,False,True,0,1,uniform,1,1,1,0,0.01,7,0.25,random,0,none,4000,20,1,50,sss,none,Anahita,random,True,0,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,54,10,False,simulation/data/variables_simple.csv,7331.972567796707,4.516649839239017,4.516649839239017,8.957332308174923,33
0,False,True,0,1,uniform,1,1,1,0,0.01,7,0.25,random,0,none,4000,20,1,50,sss,none,Anahita,random,True,0,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,59,10,False,simulation/data/variables_simple.csv,7274.87699508667,4.401275850368671,4.401275850368671,8.080956879027225,21
0,False,True,0,1,uniform,1,1,1,0,0.01,7,0.25,random,0,none,4000,20,1,50,sss,none,Anahita,random,True,0,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,62,10,False,simulation/data/variables_simple.csv,7323.695167779922,4.450209452713453,4.450209452713453,8.576350011463974,54
0,False,True,0,1,uniform,1,1,1,0,0.01,7,0.25,random,0,none,4000,20,1,50,sss,none,Anahita,random,True,0,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,63,10,False,simulation/data/variables_simple.csv,7343.161264419556,4.203218144411522,4.203218144411522,8.501646100997569,37
0,False,True,0,1,uniform,1,1,1,0,0.01,7,0.25,random,0,none,4000,20,1,50,sss,none,Anahita,random,True,0,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,79,10,False,simulation/data/variables_simple.csv,7307.797077655792,4.343139486021588,4.343139486021588,8.441254621796677,52
