complexity_cost,compute_disabled_counterparts_credits,consider_repetition_cost,creativity_gain,crossover_probability,crossover_type,default_credit,keep_parents,last_n_steps_repetition_halving_cost,learning_rate_credits,learning_rate_weights,multiplier_last_n_step_negative_repetition,mutation_probability,mutation_type,noise_probability,noise_type,nr_interactions,nr_rules,nr_steps,num_generations,parent_selection_type,patient_models_file,patient_name,patient_type,personalize,population_diversity_importance,preferences_details_file,rate_parents_mating,reassess_weights,sampling_trials,therapeutic_actions_details_file,therapies_activities_diversity_importance_ratio,trial,universes_granularity,update_arules,variables_details_file,Exp Time,Overall Avg Actual Happiness,Overall Avg Measured Happiness,MSE,Equal to Last Interaction
0,False,True,0,1,uniform,1,1,10,0.04,0.01,7,0.25,random,0.2,gaussian,4000,20,1,50,sss,none,Anahita,random,True,0.5,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,140,10,False,simulation/data/variables_simple.csv,7507.077223539352,8.203136138646883,8.129599345351023,15.11273784988711,22
0,False,True,0,1,uniform,1,1,10,0.04,0.01,7,0.25,random,0.2,gaussian,4000,20,1,50,sss,none,Anahita,random,True,0.5,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,141,10,False,simulation/data/variables_simple.csv,7216.53068447113,8.880618329417782,8.788823906035466,17.45828627582827,1
0,False,True,0,1,uniform,1,1,10,0.04,0.01,7,0.25,random,0.2,gaussian,4000,20,1,50,sss,none,Anahita,random,True,0.5,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,186,10,False,simulation/data/variables_simple.csv,7149.766802072525,8.462990832705072,8.358512125013025,17.96950957950013,9
0,False,True,0,1,uniform,1,1,10,0.04,0.01,7,0.25,random,0.2,gaussian,4000,20,1,50,sss,none,Anahita,random,True,0.5,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,187,10,False,simulation/data/variables_simple.csv,7307.321235179901,8.762848852034047,8.655310019709937,19.23927916436774,3
0,False,True,0,1,uniform,1,1,10,0.04,0.01,7,0.25,random,0.2,gaussian,4000,20,1,50,sss,none,Anahita,random,True,0.5,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,188,10,False,simulation/data/variables_simple.csv,7114.394837141037,9.138414835251647,9.011229439742404,20.0044942461844,313
0,False,True,0,1,uniform,1,1,10,0.04,0.01,7,0.25,random,0.2,gaussian,4000,20,1,50,sss,none,Anahita,random,True,0.5,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,191,10,False,simulation/data/variables_simple.csv,7234.495096921921,9.369299860438128,9.238307690009725,21.269068895358,426
0,False,True,0,1,uniform,1,1,10,0.04,0.01,7,0.25,random,0.2,gaussian,4000,20,1,50,sss,none,Anahita,random,True,0.5,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,192,10,False,simulation/data/variables_simple.csv,7212.484184503555,7.814562983867776,7.759187436508947,12.76857307435206,8
0,False,True,0,1,uniform,1,1,10,0.04,0.01,7,0.25,random,0.2,gaussian,4000,20,1,50,sss,none,Anahita,random,True,0.5,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,196,10,False,simulation/data/variables_simple.csv,7297.520888328552,7.759635894960097,7.712646713440309,11.66189661124542,711
0,False,True,0,1,uniform,1,1,10,0.04,0.01,7,0.25,random,0.2,gaussian,4000,20,1,50,sss,none,Anahita,random,True,0.5,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,197,10,False,simulation/data/variables_simple.csv,7160.46252822876,8.326576173701145,8.26282785239453,14.51758966052707,1
0,False,True,0,1,uniform,1,1,10,0.04,0.01,7,0.25,random,0.2,gaussian,4000,20,1,50,sss,none,Anahita,random,True,0.5,simulation/data/preferences_PATIENTNAME.xlsx,0.8,False,1,simulation/data/therapeutic_actions_PATIENTNAME.csv,0.75,199,10,False,simulation/data/variables_simple.csv,7241.970130205154,8.896563512578803,8.783115462671955,19.63218941222107,4
