Row Labels,Average of Overall Avg Actual Happiness
0,4.778076395
1,4.649427925
2,4.60098715
3,4.626495402
4,4.716170254
5,4.455804235
6,4.362767977
7,4.260296519
8,4.675251133
9,4.337932387
10,4.515795047
11,4.649262387
12,4.643640317
13,4.329983205
14,4.42288577
15,4.756645638
16,4.296857791
17,4.40858144
18,4.559814833
19,4.277253114
20,4.160251928
21,4.641159342
22,4.227560085
23,4.687795896
24,4.708706999
25,4.569703278
26,4.495433633
27,4.694684795
28,4.507759647
29,4.461471527
30,4.57164623
31,4.461706089
32,4.364493012
33,4.537037615
34,4.682791822
35,4.473886214
36,4.807007277
37,4.490698848
38,4.811774777
39,4.366489442
40,4.245695971
41,4.757346734
42,4.607670766
43,4.372166624
44,4.355836503
45,4.864338418
46,4.506158808
47,4.715782728
48,4.831894643
49,4.263374611
50,4.497409167
51,4.559848423
52,4.569533987
53,4.539661054
54,4.703317507
55,4.81953271
56,4.64233691
57,4.293052937
58,4.490498262
59,4.496617122
60,4.462778698
61,4.391905721
62,4.464995795
63,4.12349243
64,4.384273267
65,4.753000625
66,4.533507086
67,4.712377659
68,4.459949045
69,4.469015388
70,4.526277719
71,4.477592613
72,4.752384903
73,4.31930191
74,4.736763547
75,4.523156244
76,4.531871456
77,4.553671021
78,4.634564105
79,4.374251382
80,4.282712267
81,4.497458134
82,4.606769197
83,4.6157533
84,4.733047504
85,4.249294584
86,4.442743582
87,4.243308911
88,4.823682511
89,4.527342261
90,4.466276667
91,4.861733368
92,4.6199692
93,4.835311925
94,4.603789013
95,4.401829483
96,4.199959174
97,4.564381055
98,4.312443583
99,4.543024384
100,4.523754711
101,4.687037853
102,4.875810156
103,4.595424534
104,4.397832374
105,4.538685279
106,4.505212529
107,4.56254157
108,4.690999971
109,4.631657221
110,4.624378874
111,4.367201623
112,4.903299566
113,4.458870378
114,4.36156353
115,4.918735022
116,4.257969656
117,4.379142469
118,4.484994381
119,4.480550597
120,4.398700748
121,4.524861087
122,4.652818678
123,4.286864814
124,4.264864215
125,4.580353588
126,4.395825646
127,4.366931613
128,4.505679416
129,4.388806136
130,4.155639666
131,4.39071688
132,4.659604677
133,4.135632678
134,4.378430187
135,4.433873871
136,4.472421281
137,4.520637313
138,4.643520329
139,4.297640861
140,4.508614972
141,4.523023314
142,4.35780315
143,4.718850153
144,4.3317249
145,4.239589271
146,4.464038955
147,4.257378533
148,4.734786767
149,4.272613383
150,4.223192251
151,4.480187361
152,4.788291445
153,4.427655464
154,4.274037305
155,4.531023461
156,4.461425372
157,4.467228427
158,4.499827238
159,4.418418885
160,4.440428578
161,4.846652586
162,4.549836871
163,4.485939797
164,4.523111958
165,4.330567818
166,4.573997748
167,4.443298202
168,4.434260573
169,4.516296928
170,4.2638087
171,4.480668312
172,4.486915556
173,4.662663807
174,4.537689703
175,4.713612413
176,4.170827445
177,4.642787447
178,4.748198399
179,4.441799667
180,4.468062939
181,4.427458308
182,4.083164345
183,4.447059714
184,4.549505786
185,4.752613245
186,4.584459659
187,4.166353965
188,4.829940029
189,4.539273711
190,4.702975665
191,4.569449321
192,4.44277682
193,4.550461188
194,4.172781478
195,4.446788653
196,4.716796685
197,4.609930454
198,4.243572196
199,4.355285049
(blank),
Grand Total,4.507126451
