complexity_cost,compute_disabled_counterparts_credits,consider_repetition_cost,creativity_gain,crossover_probability,crossover_type,default_credit,keep_parents,last_n_steps_repetition_halving_cost,learning_rate_credits,learning_rate_weights,multiplier_last_n_step_negative_repetition,mutation_probability,mutation_type,noise_probability,noise_type,nr_interactions,nr_rules,nr_steps,num_generations,parent_selection_type,patient_models_file,patient_name,patient_type,personalize,population_diversity_importance,preferences_details_file,rate_parents_mating,reassess_weights,sampling_trials,therapeutic_actions_details_file,therapies_activities_diversity_importance_ratio,universes_granularity,update_arules,variables_details_file,Step,Average Actual Happiness,Stdev Actual Happiness,Sum Actual Happiness
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',0,4.193283838192813,2.7116752626820535,838.6567676385628
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',1,5.412393757947818,2.8395735125377852,1082.4787515895632
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',2,5.251930859234245,2.8750361397936715,1050.386171846849
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',3,5.012035970364091,2.7348019221476263,1002.4071940728177
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',4,5.161689320009569,2.83330886430981,1032.3378640019139
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',5,5.505162370496288,2.9350864907866456,1101.0324740992585
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',6,5.263855344214491,2.887810047696957,1052.7710688428988
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',7,5.041009707616514,2.914237550429249,1008.2019415233029
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',8,5.073391769808795,2.794920024075996,1014.6783539617591
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',9,5.1641548834495765,2.81561378427429,1032.830976689915
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',10,5.4725703710402875,2.938534563779223,1094.5140742080573
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',11,5.543029676059889,2.9362432081350693,1108.6059352119776
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',12,5.8792673662910415,2.79994335671912,1175.8534732582089
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',13,6.063079656736539,2.8044033908469523,1212.6159313473083
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',14,6.155942564006155,2.7073908517465797,1231.188512801231
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',15,6.126020576334587,2.886224297394534,1225.2041152669176
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',16,6.01046010729269,2.7343806909131834,1202.092021458538
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',17,5.842489827867204,2.9452676551674206,1168.497965573441
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',18,5.8509917891319265,2.840501302317963,1170.1983578263855
0, False, True, 0, 1, 'uniform', 1, 1, 10, 0.04, 0.01, 7, 0.25, 'random', 0, 'none', 4000, 20, 1, 50, 'sss', 'none', 'Anahita', 'random', True, 0, 'simulation/data/preferences_PATIENTNAME.xlsx', 0.8, False, 1, 'simulation/data/therapeutic_actions_PATIENTNAME.csv', 0.75, 10, False, 'simulation/data/variables_simple.csv',19,5.833314388697812,2.726691199860623,1166.6628777395624
